"","t","x","y"
"4916",80012,0.330589,0.423862
"4917",80028,0.321722,0.426239
"4918",80044,0.315103,0.429652
"4919",80059,0.309201,0.432473
"4920",80075,0.303666,0.434956
"4921",80106,0.290787,0.442619
"4922",80106,0.280469,0.450251
"4923",80122,0.271032,0.457511
"4924",80137,0.258264,0.465735
"4925",80153,0.246962,0.471131
"4926",80168,0.23716,0.47248
"4927",80184,0.228876,0.47192
"4928",80200,0.222539,0.470202
"4929",80215,0.216385,0.469273
"4930",80246,0.210785,0.469507
"4931",80262,0.205589,0.470884
"4932",80278,0.200036,0.473166
"4933",80293,0.194911,0.47615
"4934",80309,0.190149,0.479519
"4935",80324,0.185377,0.483913
"4936",80340,0.180698,0.488508
"4937",80356,0.17655,0.494081
"4938",80371,0.173504,0.499173
"4939",80387,0.17117,0.503898
"4940",80402,0.169392,0.508312
"4941",80418,0.167947,0.512647
"4942",80434,0.165405,0.516197
"4943",80449,0.163356,0.519677
"4944",80465,0.161708,0.522272
"4945",80480,0.160491,0.523603
"4946",80496,0.159652,0.524768
"4947",80512,0.161354,0.525331
"4948",80527,0.174337,0.523709
"4949",80543,0.185215,0.526103
"4950",80558,0.198291,0.527636
"4951",80574,0.212912,0.528463
"4952",80590,0.232707,0.528939
"4953",80621,0.250236,0.528803
"4954",80621,0.265444,0.526585
"4955",80636,0.278875,0.523852
"4956",80652,0.289238,0.522637
"4957",80668,0.297458,0.521586
"4958",80699,0.304653,0.521482
"4959",80714,0.31053,0.522202
"4960",80730,0.315335,0.523507
"4961",80746,0.319297,0.523829
"4962",80761,0.322457,0.524062
"4963",80777,0.324813,0.523815
"4964",80792,0.327384,0.52378
"4965",80808,0.329883,0.524207
"4966",80824,0.332236,0.524302
"4967",80839,0.334903,0.524625
"4968",80855,0.337253,0.524244
"4969",80870,0.339517,0.523865
"4970",80886,0.341429,0.523827
"4971",80902,0.343255,0.522654
"4972",80917,0.344872,0.521161
"4973",80933,0.346637,0.519104
"4974",80948,0.348492,0.516876
"4975",80964,0.349873,0.515657
"4976",80980,0.351032,0.514842
"4977",80995,0.351875,0.514612
"4978",81011,0.352882,0.514963
"4979",81026,0.35382,0.515021
"4980",81058,0.35466,0.515032
"4981",81073,0.35533,0.515167
"4982",81089,0.355309,0.515154
"4983",81104,0.355283,0.515073
"4984",81120,0.355369,0.515252
"4985",81136,0.355342,0.515342
"4986",81151,0.355496,0.515378
"4987",81167,0.355617,0.515518
"4988",81182,0.355688,0.515619
"4989",81198,0.355132,0.504428
"4990",81214,0,0
"4991",81229,0,0
"4992",81245,0,0
"4993",81260,0,0
"4994",81276,0,0
"4995",81292,0,0
"4996",81307,0,0
"4997",81323,0,0
"4998",81338,0,0
"4999",81354,0,0
"5000",81370,0,0
"5001",81385,0,0
"5002",81401,0,0
"5003",81416,0,0
"5004",81432,0,0
"5005",81448,0,0
"5006",81463,0,0
"5007",81479,0,0
"5008",81510,0,0
"5009",81526,0,0
"5010",81541,0,0
"5011",81557,0,0
"5012",81572,0,0
"5013",81588,0,0
"5014",81604,0,0
"5015",81619,0,0
"5016",81635,0,0
"5017",81650,0,0
"5018",81666,0,0
"5019",81682,0,0
"5020",81697,0,0
"5021",81728,0.295064,0.503949
"5022",81744,0.271135,0.502911
"5023",81744,0.251916,0.502834
"5024",81760,0.239654,0.501362
"5025",81775,0.232463,0.501656
"5026",81791,0.225957,0.503145
"5027",81806,0.22127,0.503836
"5028",81838,0.218335,0.505818
"5029",81853,0.216504,0.507283
"5030",81869,0.215121,0.507532
"5031",81884,0.214454,0.505714
"5032",81900,0.213707,0.502123
"5033",81916,0.212496,0.49827
"5034",81931,0.211515,0.493493
"5035",81947,0.21115,0.49076
"5036",81962,0.211212,0.490439
"5037",81978,0.212626,0.490415
"5038",81994,0.213901,0.491893
"5039",82009,0.214583,0.492697
"5040",82025,0.215044,0.493442
"5041",82040,0.215247,0.493961
"5042",82056,0.215315,0.494522
"5043",82072,0.215109,0.495745
"5044",82087,0.214928,0.496739
"5045",82103,0.214537,0.497535
"5046",82118,0.213869,0.497925
"5047",82134,0.213852,0.497402
"5048",82150,0.2135,0.49663
"5049",82165,0.212911,0.496495
"5050",82181,0.212536,0.496866
"5051",82196,0.211762,0.497941
"5052",82212,0.210807,0.499331
"5053",82228,0.20994,0.500832
"5054",82259,0.209189,0.502193
"5055",82274,0.208348,0.503345
"5056",82290,0.207663,0.50416
"5057",82306,0.207171,0.504711
"5058",82321,0.207084,0.505534
"5059",82337,0.206969,0.506247
"5060",82352,0.206495,0.507392
"5061",82368,0.206257,0.508171
"5062",82384,0.205499,0.50828
"5063",82399,0.205288,0.508615
"5064",82415,0.205369,0.508676
"5065",82430,0.205344,0.509297
"5066",82446,0.20531,0.510345
"5067",82462,0.204696,0.511396
"5068",82477,0.204025,0.512587
"5069",82493,0.202923,0.514427
"5070",82524,0.201606,0.517815
"5071",82524,0.20097,0.521356
"5072",82540,0.200283,0.524826
"5073",82571,0.199893,0.527771
"5074",82602,0.199153,0.530195
"5075",82633,0.197742,0.533052
"5076",82633,0.195127,0.535628
"5077",82664,0,0
"5078",82774,0,0
